range sp1 sp2 sp3 sp4 sp5 sp6 sp7 sp8 sp9 sp10 median_gnd mean_gnd qdist qscore_resolved qscore_unresolved both_resolved both_unresolved
000_3.0 AG-913-A04 AG-916-J06 AG-918-L07 AG-911-B04 AG-414-O11 AG-917-P07 AG-917-C11 AG-894-M23 AG-913-C03 AG-917-C08 3.12914 2.90138 0.577778 28 60.6667 28 92
000_3.0 AG-918-L07 AG-359-C09 AG-414-O11 AG-911-B04 AG-911-B23 AG-894-M23 AG-913-C03 AG-917-C08 AG-917-P07 AG-916-J06 3.13695 3.06866 0.666667 0 70 0 110
000_3.0 AG-913-A04 AG-916-J06 AG-918-L07 AG-911-B04 AG-359-C09 AG-911-B23 AG-894-M23 AG-913-C03 AG-917-C08 AG-917-C11 3.13643 3.07024 0.666667 0 70 0 110
000_3.0 AG-913-A04 AG-918-L07 AG-359-C09 AG-414-O11 AG-911-B04 AG-911-B23 AG-894-M23 AG-917-C08 AG-917-P07 AG-917-C11 3.15836 2.94866 0.666667 0 70 0 92
000_3.0 AG-911-B23 AG-894-M23 AG-913-C03 AG-917-C08 AG-917-P07 AG-917-C11 AG-359-C09 AG-414-O11 AG-911-B04 AG-916-J06 3.16319 2.98962 0.666667 0 70 0 98
000_3.0 AG-913-A04 AG-916-J06 AG-918-L07 AG-359-C09 AG-414-O11 AG-911-B04 AG-911-B23 AG-894-M23 AG-917-C08 AG-917-P07 3.16319 3.10565 0.666667 0 70 0 120
000_3.0 AG-918-L07 AG-911-B04 AG-359-C09 AG-911-B23 AG-894-M23 AG-913-C03 AG-917-C08 AG-917-P07 AG-917-C11 AG-916-J06 3.16319 3.02433 0.666667 0 70 0 98
000_3.0 AG-915-E06 AG-916-M06 AG-903-D02 AG-905-A10 AG-894-C14 AG-918-L21 AG-893-N22 AG-917-I17 AG-920-K11 AG-920-O11 2.88944 2.70126 0.666667 0 70 0 182
000_3.0 AG-893-N22 AG-918-K09 AG-917-I17 AG-920-K11 AG-359-E10 AG-920-O11 AG-916-M06 AG-903-D02 AG-905-A10 AG-912-F16 2.83443 2.60682 0.666667 0 70 0 155
000_3.0 AG-913-A04 AG-918-L07 AG-359-C09 AG-414-O11 AG-911-B23 AG-894-M23 AG-913-C03 AG-917-C08 AG-917-P07 AG-917-C11 3.12462 2.88839 0.688889 1 64.3333 17 81
000_3.0 AG-915-E06 AG-905-A10 AG-916-M06 AG-912-F16 AG-894-C14 AG-918-L21 AG-918-K09 AG-920-K11 AG-920-O11 AG-903-K22 2.85018 2.6936 0.577778 28 60.6667 28 155
000_3.0 AG-913-A04 AG-916-J06 AG-918-L07 AG-359-C09 AG-414-O11 AG-911-B04 AG-894-M23 AG-913-C03 AG-917-C08 AG-917-C11 3.13643 3.03106 0.666667 0 70 0 110
000_3.0 AG-913-A04 AG-916-J06 AG-918-L07 AG-359-C09 AG-414-O11 AG-911-B04 AG-894-M23 AG-913-C03 AG-917-C08 AG-917-C11 3.13643 3.03106 0.666667 0 70 0 110
000_3.0 AG-913-A04 AG-916-J06 AG-918-L07 AG-359-C09 AG-414-O11 AG-911-B04 AG-911-B23 AG-894-M23 AG-913-C03 AG-917-C11 3.16424 3.10312 0.666667 0 70 0 110
000_3.0 AG-913-A04 AG-916-J06 AG-918-L07 AG-911-B04 AG-359-C09 AG-911-B23 AG-894-M23 AG-913-C03 AG-917-P07 AG-917-C11 3.18431 3.05716 0.666667 0 70 0 98
000_3.0 AG-915-E06 AG-916-M06 AG-903-D02 AG-905-A10 AG-912-F16 AG-894-C14 AG-893-N22 AG-920-K11 AG-359-E10 AG-920-O11 2.85526 2.68858 0.666667 0 70 0 182
000_3.0 AG-913-A04 AG-916-J06 AG-918-L07 AG-911-B04 AG-414-O11 AG-911-B23 AG-894-M23 AG-917-C08 AG-917-P07 AG-917-C11 3.15836 2.97808 0.666667 0 70 0 107
000_3.0 AG-905-A10 AG-916-M06 AG-912-F16 AG-894-C14 AG-893-N22 AG-918-K09 AG-917-I17 AG-920-K11 AG-359-E10 AG-920-O11 2.74123 2.62811 0.666667 0 70 0 155
000_3.0 AG-913-A04 AG-916-J06 AG-918-L07 AG-911-B04 AG-359-C09 AG-911-B23 AG-894-M23 AG-913-C03 AG-917-P07 AG-917-C11 3.18431 3.05716 0.666667 0 70 0 98
000_3.0 AG-918-L07 AG-359-C09 AG-414-O11 AG-911-B04 AG-911-B23 AG-894-M23 AG-913-C03 AG-917-C08 AG-917-C11 AG-916-J06 3.13695 3.06908 0.666667 0 70 0 110
000_3.0 AG-893-N22 AG-918-K09 AG-917-I17 AG-920-K11 AG-920-O11 AG-903-K22 AG-915-E06 AG-905-A10 AG-903-D02 AG-912-F16 2.85769 2.72425 0.577778 28 60.6667 28 155
000_3.0 AG-913-A04 AG-916-J06 AG-918-L07 AG-359-C09 AG-414-O11 AG-911-B04 AG-911-B23 AG-894-M23 AG-917-P07 AG-917-C11 3.24123 3.07631 0.666667 0 70 0 92
000_3.0 AG-913-A04 AG-916-J06 AG-918-L07 AG-359-C09 AG-414-O11 AG-911-B04 AG-911-B23 AG-894-M23 AG-917-C08 AG-917-P07 3.16319 3.10565 0.666667 0 70 0 120
000_3.0 AG-915-E06 AG-905-A10 AG-903-D02 AG-912-F16 AG-894-C14 AG-893-N22 AG-918-K09 AG-359-E10 AG-920-O11 AG-903-K22 2.89357 2.74254 0.577778 28 60.6667 28 182
